name,difficulty,description,comments,equipment,gif
Incline Push-Up,Easy,"Stand facing bench or sturdy elevated platform. Place hands on edge of bench or platform, slightly wider than shoulder width. Position forefoot back from bench or platform with arms and body straight. Arms should be perpendicular to body.",Both upper and lower body must be kept straight throughout movement. Height of bench or platform affects difficulty of movement.,,https://gfycat.com/aliveidenticalbangeltiger
Self-assisted Chest Dip,Easy,"Stand on bench or elevation between parallel bars. Mount wide dip bar with oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Bend knees and hips slightly and place forefoot on bench or elevation below.

Lower body by bending arms, allowing elbows to flare out to sides. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping forefeet in contact with bench or elevation. When slight stretch is felt in chest or shoulders, push body up until arms are straight and repeat, again with minimal assistance from legs.","If lower body is used for assistance, Hip and Knee Extensors muscles are utilized.",Dip Bar,https://www.nerdfitness.com/wp-content/uploads/2019/05/assisted-dips.gif
Decline Push-Up,Easy,"Kneel on floor with bench or elevation behind body. Position hands on floor slightly wider than shoulder width. Place feet on bench or elevation. Raise body in plank position with body straight and arms extended.

Keeping body straight, lower upper body to floor by bending arms. To allow for full descent, pull head back slightly without arching back. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement. Range of motion will be compromised if grip is too wide or neck is protracted.,Bench,https://i.pinimg.com/originals/ec/f3/3d/ecf33d10ca3d096b18f5c46f2dfa7a7b.gif
Lever Chest Press,Easy,"Sit on seat with chest approximately height of handles. Grasp handles with wide overhand grip; elbows out to sides just below shoulders.

Press lever until arms are extended. Return weight until chest muscles are slightly stretched. Repeat.",Range of motion will be compromised if grip is too wide.,Chest Press Machine,https://thumbs.gfycat.com/SmoggyFrenchBagworm-size_restricted.gif
Dumbell Bench Press,Easy,"Sit down on bench with dumbbells resting on lower thigh. Kick weights to shoulder and lie back. Position dumbbells to sides of chest with bent arm under each dumbbell.

Press dumbbells up with elbows to sides until arms are extended. Lower weight to sides of chest until slight stretch is felt in chest or shoulder. Repeat.","Dumbbells should follow slight arch pattern, above upper arm between elbow and chest at bottom, traveling inward over each shoulder at top. No need to drop weights","Dumbells, Bench",https://gfycat.com/abandonedwearyaustralianshelduck
Barbell Incline Bench Press,Intermediate,"Lie supine on incline bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.

Lower weight to upper chest. Press bar until arms are extended. Repeat.",Range of motion will be compromised if grip is too wide.,"Barbell, Inclined Bench",https://i1.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Incline-Bench-Press.gif?fit=600%2C600&ssl=1
Dumbell Fly,Intermediate,"Grasp two dumbbells. Lie supine on bench. Support dumbbells above chest with arms fixed in slightly bent position. Internally rotate shoulders so elbows point out to sides.

Lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat.","Keep shoulders internally rotated so elbows point downward at bottom position and outward at top position. Keep elbows at fixed angle, only slightly bent.","Dumbells, Bench",https://thumbs.gfycat.com/HappygoluckyUnitedAtlanticspadefish-max-1mb.gif
Shoulder Tap Push-up,Intermediate,"Lie prone on floor with hands slightly wider than shoulder width. Raise body up off floor to plank position by extending arms with body straight.

Lower body to floor. Push body upward by extending arms. Rapidly tap shoulder with opposite hand and place it back on floor. Continue and repeat.",Keep hips and waist straight.,,https://media.tenor.com/AyDvlGI_FA4AAAAd/shoulder-taps-push-ups.gif
Bench Press,Intermediate,"Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.

Lower weight to chest. Press bar upward until arms are extended. Repeat.",Range of motion will be compromised if grip is too wide.,"Barbell, Bench",https://thumbs.gfycat.com/ClearHalfHoatzin-size_restricted.gif
Close Grip Push Up,Intermediate,"Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.

Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.",Both upper and lower body must be kept straight throughout movement.,,"https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/closehandspushup-1456956569.gif?crop=1xw:1xh;center,top&resize=640:* "
